match_id,tiratore,distanza,angolo,difensori_cono,portiere_cono,distanza_min_difensore,body_part,shot_type,goal
3835334,Arianna Caruso,21.552262062252307,20.981846658085598,1,1,3.0340595452857424,Right Foot,Open Play,0
3835334,Sveindís Jane Jónsdóttir,12.952219886953744,8.986584929202621,1,0,1.515916825231708,Right Foot,Open Play,0
3835334,Martina Piemonte,10.948059188732952,38.96527566803198,1,1,2.9574391145049215,Right Foot,Open Play,0
3835334,Valentina Bergamaschi,20.09278477463987,20.99590880293484,1,1,1.5153137244390644,Right Foot,Open Play,0
3835334,Valentina Giacinti,23.703375287076735,19.154577203164433,0,1,3.1276159183271437,Right Foot,Open Play,0
3835334,Guðrún Arnardóttir,7.119691004531025,58.223263954037,0,1,1.6004658858840997,Head,Open Play,0
3835334,Lucia Di Guglielmo,29.569071679712906,15.02560500834222,3,0,2.9107265234620723,Right Foot,Open Play,0
3835334,Sara Björk Gunnarsdóttir,32.73713487768898,12.559604845560514,0,0,1.8535438387584986,Right Foot,Open Play,0
3835334,Glódís Perla Viggósdóttir,8.50235261559999,50.382242379216144,5,1,1.0632932464873344,Head,Open Play,0
3835334,Alexandra Jóhannsdóttir,7.402702209328698,50.09739973797901,2,1,1.636830739574841,Left Foot,Open Play,0
3835334,Valentina Bergamaschi,8.956003573022965,47.95504266691182,1,1,0.6878055019279635,Right Foot,Open Play,1
3835334,Barbara Bonansea,25.678006153126457,16.87817052249483,1,1,1.8531469375611602,Right Foot,Open Play,0
3835334,Lucia Di Guglielmo,25.092827660508892,15.796071176901544,1,1,4.743292436809343,Left Foot,Open Play,0
3835334,Barbara Bonansea,18.762729012593024,20.852189135672976,2,1,2.788843679002203,Right Foot,Open Play,0
3835334,Barbara Bonansea,21.751781536232844,20.794392268781387,3,1,2.479792632032971,Right Foot,Open Play,0
3835334,Cristiana Girelli,24.44360857156733,11.6602377355765,0,1,8.333243088473164,Right Foot,Open Play,0
3835334,Flaminia Simonetti,16.658931538367032,26.921485314669155,3,1,2.241069533248495,Right Foot,Open Play,0
3835334,Barbara Bonansea,22.769277546729498,14.292466804880952,1,1,2.7558038234551914,Right Foot,Open Play,0
3835334,Cristiana Girelli,10.923827168167762,39.63882016751258,5,1,1.7382225297906455,Head,Open Play,0
3835334,Barbara Bonansea,26.312164487172083,17.28043417456064,1,1,2.666969417677511,Right Foot,Open Play,0
3835334,Karólína Lea Vilhjálmsdóttir,12.238055401083942,34.750129827637885,1,1,4.164868047325749,Right Foot,Open Play,0
3835334,Cristiana Girelli,29.435013164597017,12.773686169562218,1,1,6.390235611364059,Right Foot,Open Play,0
3844386,Ingrid Filippa Angeldal,26.501698058803704,17.16512412228314,1,1,2.590256661931282,Right Foot,Open Play,0
3844386,Ingrid Filippa Angeldal,19.82145302443794,20.910574037742293,4,1,2.7955467300405457,Right Foot,Open Play,0
3844386,Ingrid Filippa Angeldal,17.24905794529081,26.04743576088214,0,1,5.3534202944670115,Right Foot,Open Play,0
3844386,Amanda Ilestedt,11.844407963254223,26.36370956059709,1,1,1.985505815129153,Head,Open Play,0
3844386,Fridolina Rolfö,17.099999999999994,26.331588908881603,2,1,1.45076813357575,Head,Open Play,0
3844386,Ingrid Filippa Angeldal,25.019192632856882,15.399041723198616,2,1,3.800195838615721,Left Foot,Open Play,0
3844386,Gun Nathalie Björn,12.220065466273079,30.456154046978654,2,1,1.1502195246571032,Head,Open Play,0
3844386,Gun Nathalie Björn,11.385077953180652,32.073324984097496,3,1,2.0414717388357957,Right Foot,Open Play,0
3844386,Justine Vanhaevermaet,26.40681730159846,16.111417405093228,1,1,5.172428222348087,Right Foot,Open Play,0
3844386,Ingrid Filippa Angeldal,16.32329623574846,26.77969242047991,6,1,4.751656014338632,Right Foot,Open Play,0
3844386,Emma Stina Blackstenius,2.594224354214568,116.73916414517826,3,0,2.4979106283194,Left Foot,Open Play,0
3844386,Emma Stina Blackstenius,2.86530975637888,111.28091360862025,4,1,1.345745210553406,Left Foot,Open Play,0
3844386,Gun Nathalie Björn,22.343902971504328,19.843996585312183,2,1,4.1073608930917045,Right Foot,Open Play,0
3844386,Gun Nathalie Björn,20.769689453624483,21.735740999904987,5,1,5.437801338542609,Right Foot,Open Play,0
3844386,Linda Brigitta Sembrant,11.40175425099138,32.27564431457763,2,0,4.7016210597625445,Other,Open Play,0
3844386,Magdalena Lilly Eriksson,8.414867794564577,50.79845505799956,1,1,0.33380195063512463,Head,Open Play,0
3844386,Emma Stina Blackstenius,8.860022573334673,46.73301312991531,0,1,0.9389034288643231,Head,Open Play,0
